epoch,accuracy,loss,val_accuracy,val_loss
0,0.3354552984237671,1.3417727947235107,0.47262248396873474,1.2977514266967773
1,0.6277331709861755,1.0411841869354248,0.6368876099586487,0.9575287699699402
2,0.7926930785179138,0.6063874959945679,0.7089337110519409,0.7613645195960999
3,0.8508164882659912,0.4236682057380676,0.6829971075057983,0.8082979917526245
4,0.8820924162864685,0.3349446654319763,0.7031700015068054,0.8297756910324097
5,0.9086631536483765,0.26821169257164,0.6945244669914246,0.8938252925872803
6,0.9272072911262512,0.2222462147474289,0.7118155360221863,0.9480751156806946
7,0.9410462379455566,0.18633271753787994,0.7031700015068054,0.999629557132721
8,0.9504566788673401,0.15334871411323547,0.6974063515663147,1.0787439346313477
9,0.9598671197891235,0.14061415195465088,0.6916426420211792,1.1503942012786865
10,0.9631884694099426,0.12209893763065338,0.6829971075057983,1.221726655960083
11,0.9667866230010986,0.11024733632802963,0.6858789920806885,1.27739417552948
12,0.9659562706947327,0.10089926421642303,0.680115282535553,1.3701082468032837
13,0.9725989699363708,0.09363500028848648,0.6887608170509338,1.3829755783081055
14,0.9725989699363708,0.0916794165968895,0.6858789920806885,1.4044538736343384
15,0.9739828109741211,0.08418290317058563,0.6945244669914246,1.4776873588562012
16,0.9745364189147949,0.0781298577785492,0.6945244669914246,1.502474308013916
17,0.973429262638092,0.08393827080726624,0.7002881765365601,1.5427623987197876
18,0.977027416229248,0.07573705166578293,0.6887608170509338,1.5269135236740112
19,0.977027416229248,0.06551766395568848,0.6887608170509338,1.6085023880004883
20,0.9761970639228821,0.0721520483493805,0.6829971075057983,1.6171609163284302
21,0.9792416095733643,0.06408876925706863,0.7031700015068054,1.6474741697311401
22,0.9789648652076721,0.06510867923498154,0.7031700015068054,1.633703589439392
23,0.9745364189147949,0.06309951841831207,0.6743515729904175,1.7210862636566162
24,0.9792416095733643,0.06522755324840546,0.6945244669914246,1.7157397270202637
